pair.n,sp1.english,sp2.english,sp1.treename,sp2.treename,sp1.family,sp2.family2,IT.classif,hybrid.ok,BL.BBS.eBird_Sympatry,BBSe.syntopy1u,BBSe.syntopy2u,BBSe.syntopyOu,logBBSe.syntopy1u,logBBSe.syntopy2u,logBBSe.syntopyOu,patristic.distance,Plumage.mean.score,sp1.guild1,sp1.guild2,sp1.guild3,sp2.guild1,sp2.guild2,sp2.guild3,samefoodtype,samesubstrate,sametechnique,guildoverlap.sum,proportion.shared.axes,sp1.hole.nester,sp2.hole.nester,both.hole.nester,sp1.territory.type,sp2.territory.type,same.territory.type,sp1.habitat.complexity,sp2.habitat.complexity,max.habitat.complexity,sp1.male.bill.len,sp1.female.bill.len,sp2.male.bill.len,sp2.female.bill.len,sp1.mass,sp2.mass,song.pcdists.std,mean.max.xcor,animal,species1,species2,mass.diff.sqrt,bill.diff.sqrt,same.family,both.migratory,both.resident,plumage.diff.sq,sympatry.sq,simple.habitat
1,Scissor-tailed Flycatcher,Eastern Kingbird,Tyrannus_forficatus,Tyrannus_tyrannus,Tyrannidae,Tyrannidae,0,0,0.735132486,0.442992672,1.785290354,0.021676321,-0.79187933,0.585166766,-3.452185849,15.60071366,2.875,insectivoreairsallier,NA,NA,insectivoreairsallier,NA,NA,1,1,1,3,1,no,no,0,5,5,1,2,2,2,15.06333333,14.57,15.425,13.7,39.3,42.2,6.339749822,0.196061745,Node27,Tyrannus_tyrannus,Tyrannus_forficatus,0.266825228,0.154032579,1,1,0,8.265625,0.540419772,0
2,Scissor-tailed Flycatcher,Western Kingbird,Tyrannus_forficatus,Tyrannus_verticalis,Tyrannidae,Tyrannidae,1,1,0.571793531,0.237335227,1.157234169,0.054680405,-1.397010668,0.154636992,-2.738296983,2.368768028,2.716666667,insectivoreairsallier,NA,NA,insectivoreairsallier,NA,NA,1,1,1,3,1,no,no,0,5,4,0,2,1,2,15.06333333,14.57,18.3,17.3,39.3,39.6,4.386951744,0.242174855,Node30,Tyrannus_forficatus,Tyrannus_verticalis,0.087204354,0.441177431,1,1,0,7.38027778,0.326947842,0
3,Scissor-tailed Flycatcher,Cassin's Kingbird,Tyrannus_forficatus,Tyrannus_vociferans,Tyrannidae,Tyrannidae,0,0,0.083237989,0.09843939,1.026529346,0.030359553,-2.22156388,0.035877965,-3.209927159,15.60071366,2.4375,insectivoreairsallier,NA,NA,insectivoreairsallier,NA,NA,1,1,1,3,1,no,no,0,5,4,0,2,3,3,15.06333333,14.57,19.75,18.3,39.3,45.6,6.785556009,0.215942626,Node27,Tyrannus_forficatus,Tyrannus_vociferans,0.385594603,0.520470899,1,1,0,5.94140625,0.006928563,0
4,Scissor-tailed Flycatcher,Great Crested Flycatcher,Tyrannus_forficatus,Myiarchus_crinitus,Tyrannidae,Tyrannidae,0,0,0.685548232,0.232794217,0.773345324,0.038121632,-1.415541038,-0.244181653,-3.034023473,28.79781301,3.151785715,insectivoreairsallier,NA,NA,insectivoreairsallier,NA,NA,1,1,1,3,1,no,yes,0,5,5,1,2,3,3,15.06333333,14.57,18.72773102,18.50765101,39.3,32.1,8.463623155,0.268530131,Node22,Myiarchus_crinitus,Tyrannus_forficatus,0.449853853,0.466628153,1,1,0,9.933753193,0.469976378,0
5,Scissor-tailed Flycatcher,Ash-throated Flycatcher,Tyrannus_forficatus,Myiarchus_cinerascens,Tyrannidae,Tyrannidae,0,0,0.343024614,0.273778149,0.855087929,0.049160136,-1.259562512,-0.144924125,-2.827507342,28.79781301,2.875,insectivoreairsallier,NA,NA,insectivoreairsallier,insectivorelowercanopygleaner,NA,1,1,1,3,0.666666667,no,yes,0,5,5,1,2,3,3,15.06333333,14.57,19.3,18.8,39.3,28.2,10.97794987,0.390763138,Node22,Myiarchus_cinerascens,Tyrannus_forficatus,0.576109834,0.497836882,1,1,0,8.265625,0.117665886,0
6,Scissor-tailed Flycatcher,Eastern Phoebe,Tyrannus_forficatus,Sayornis_phoebe,Tyrannidae,Tyrannidae,0,0,0.583981841,0.124443151,0.406364187,0.022580901,-2.006613838,-0.876194952,-3.424029021,36.59546793,3.185714286,insectivoreairsallier,NA,NA,insectivoreairsallier,NA,NA,1,1,1,3,1,no,no,0,5,5,1,2,3,3,15.06333333,14.57,14.5,14.4,39.3,18.7,5.738437874,0.188613643,Node4,Sayornis_phoebe,Tyrannus_forficatus,0.861801018,0.195230339,1,1,0,10.14877551,0.341034791,0
7,Scissor-tailed Flycatcher,Say's Phoebe,Tyrannus_forficatus,Sayornis_saya,Tyrannidae,Tyrannidae,0,0,0.166726289,0.077331028,0.798254103,0.007862385,-2.438049461,-0.212878786,-4.025058174,36.59546793,1.958333333,insectivoreairsallier,NA,NA,insectivoreairsallier,NA,NA,1,1,1,3,1,no,no,0,5,5,1,2,1,2,15.06333333,14.57,15.7,14.4,39.3,20.9,9.410856109,0.299139146,Node4,Sayornis_saya,Tyrannus_forficatus,0.794654239,0.203462964,1,1,0,3.835069443,0.027797655,0
8,Scissor-tailed Flycatcher,Eastern Wood-Pewee,Tyrannus_forficatus,Contopus_virens,Tyrannidae,Tyrannidae,0,0,0.552899061,0.163010366,0.736347538,0.015274911,-1.754403767,-0.292563919,-3.677943035,36.59546793,2.800505051,insectivoreairsallier,NA,NA,insectivoreairsallier,NA,NA,1,1,1,3,1,no,no,0,5,5,1,2,3,3,15.06333333,14.57,12.9,11.7,39.3,13.9,8.459868293,-0.021009712,Node4,Tyrannus_forficatus,Contopus_virens,1.01947814,0.393746394,1,1,0,7.842828541,0.305697372,0
9,Scissor-tailed Flycatcher,Cordilleran Flycatcher,Tyrannus_forficatus,Empidonax_occidentalis,Tyrannidae,Tyrannidae,0,0,0.026902775,0.02719522,0.192919931,0.004057817,-3.291575021,-1.594943806,-4.264576668,36.59546794,3.577272728,insectivoreairsallier,NA,NA,insectivoreairsallier,NA,NA,1,1,1,3,1,no,no,0,5,5,1,2,3,3,15.06333333,14.57,11.09582499,11.19684533,39.3,11.6,8.208934423,0.182147346,Node4,Empidonax_occidentalis,Tyrannus_forficatus,1.104635424,0.552896576,1,1,0,12.79688017,0.000723759,0
10,Scissor-tailed Flycatcher,Vermilion Flycatcher,Tyrannus_forficatus,Pyrocephalus_rubinus,Tyrannidae,Tyrannidae,0,0,0.204969975,0.330749806,1.12753951,0.008331148,-1.076606778,0.128867605,-3.99915359,36.59546793,3.208084948,insectivoreairsallier,NA,NA,insectivoreairsallier,NA,NA,1,1,1,3,1,no,no,0,5,5,1,2,2,2,15.06333333,14.57,9.24,9.67,39.3,14.4,6.540792658,0.23788982,Node4,Pyrocephalus_rubinus,Tyrannus_forficatus,1.001996164,0.699086296,1,1,0,10.29180903,0.042012691,0
