pair.n,AOU.1,AOU.2,sp.1.english,sp.2.english,sp1sp2,species1species2,In.BBS,sp.1.sci,sp.2.sci,sp1.first.breeding.month,sp1.last.breeding.month,sp1.first.peak.breeding.month,sp1.last.peak.breeding.month,sp2.first.breeding.month,sp2.last.breeding.month,sp2.first.peak.breeding.month,sp2.last.peak.breeding.month,first_breeding_month,last_breeding_month
1,4430,4440,Scissor-tailed Flycatcher,Eastern Kingbird,44304440,Scissor-tailed FlycatcherEastern Kingbird,1,Tyrannus forficatus,Tyrannus tyrannus,3,8,5,7,5,8,6,7,5,7
2,4430,4470,Scissor-tailed Flycatcher,Western Kingbird,44304470,Scissor-tailed FlycatcherWestern Kingbird,1,Tyrannus forficatus,Tyrannus verticalis,3,8,5,7,5,7,5,6,5,7
3,4430,4480,Scissor-tailed Flycatcher,Cassin's Kingbird,44304480,Scissor-tailed FlycatcherCassin's Kingbird,1,Tyrannus forficatus,Tyrannus vociferans,3,8,5,7,4,8,5,7,5,7
4,4430,4520,Scissor-tailed Flycatcher,Great Crested Flycatcher,44304520,Scissor-tailed FlycatcherGreat Crested Flycatcher,1,Tyrannus forficatus,Myiarchus crinitus,3,8,5,7,5,7,5,7,5,7
5,4430,4540,Scissor-tailed Flycatcher,Ash-throated Flycatcher,44304540,Scissor-tailed FlycatcherAsh-throated Flycatcher,1,Tyrannus forficatus,Myiarchus cinerascens,3,8,5,7,3,8,4,7,4,7
6,4430,4560,Scissor-tailed Flycatcher,Eastern Phoebe,44304560,Scissor-tailed FlycatcherEastern Phoebe,1,Tyrannus forficatus,Sayornis phoebe,3,8,5,7,4,8,4,7,4,7
7,4430,4570,Scissor-tailed Flycatcher,Say's Phoebe,44304570,Scissor-tailed FlycatcherSay's Phoebe,1,Tyrannus forficatus,Sayornis saya,3,8,5,7,4,8,5,7,5,7
8,4430,4610,Scissor-tailed Flycatcher,Eastern Wood-Pewee,44304610,Scissor-tailed FlycatcherEastern Wood-Pewee,1,Tyrannus forficatus,Contopus virens,3,8,5,7,5,9,6,7,5,7
9,4430,4640,Scissor-tailed Flycatcher,Cordilleran Flycatcher,44304640,Scissor-tailed FlycatcherCordilleran Flycatcher,1,Tyrannus forficatus,Empidonax occidentalis,3,8,5,7,4,7,4,7,4,7
10,4430,4710,Scissor-tailed Flycatcher,Vermilion Flycatcher,44304710,Scissor-tailed FlycatcherVermilion Flycatcher,1,Tyrannus forficatus,Pyrocephalus rubinus,3,8,5,7,3,7,4,6,4,7
