SpPair,StudyID,LocationID,Common1,Scientific1,FocalSp,Common2,Scientific2,ITSp,FirstYear,LastYear,Latitude,Longitude,Notes,spsp
1,77,22,Red-winged blackbird,Agelaius phoeniceus,4980,Tri-colored blackbird,Agelaius tricolor,5000,1957,1961,34.141479,118.878101,,49805000
1,77,52,Red-winged blackbird,Agelaius phoeniceus,4980,Tri-colored blackbird,Agelaius tricolor,5000,1957,1961,39.0438146,121.6164684,,49805000
1,78,58,Red-winged blackbird,Agelaius phoeniceus,4980,Tri-colored blackbird,Agelaius tricolor,5000,1960,1965,39.310279,122.488425,,49805000
1,77,59,Red-winged blackbird,Agelaius phoeniceus,4980,Tri-colored blackbird,Agelaius tricolor,5000,1957,1961,39.3386126,122.5109096,,49805000
2,8,89,Red-winged blackbird,Agelaius phoeniceus,4980,Marsh wren,Cistothorus palustris,7250,1967,1968,43.413701,93.418053,,49807250
2,105,124,Red-winged blackbird,Agelaius phoeniceus,4980,Marsh wren,Cistothorus palustris,7250,1969,1969,47.417798,117.569262,,49807250
2,75,127,Red-winged blackbird,Agelaius phoeniceus,4980,Marsh wren,Cistothorus palustris,7250,1961,1962,47.645804,122.290736,,49807250
2,82,132,Red-winged blackbird,Agelaius phoeniceus,4980,Marsh wren,Cistothorus palustris,7250,1976,1978,49.098211,123.178692,,49807250
2,118,153,Red-winged blackbird,Agelaius phoeniceus,4980,Marsh wren,Cistothorus palustris,7250,1980,1982,33.666881,117.843692,,49807250
3,43,73,Red-winged blackbird,Agelaius phoeniceus,4980,Common Grackle,Quiscalus quiscula,5110,1978,1978,41.718604,87.869924,,49805110
3,110,78,Red-winged blackbird,Agelaius phoeniceus,4980,Common Grackle,Quiscalus quiscula,5110,1965,1965,42.363525,71.374879,,49805110
3,107,87,Red-winged blackbird,Agelaius phoeniceus,4980,Common Grackle,Quiscalus quiscula,5110,1962,1963,43.044882,89.425501,,49805110
4,45,51,Red-winged blackbird,Agelaius phoeniceus,4980,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,4970,1930,1937,38.96389444,117.0680556,,49704980
4,55,106,Red-winged blackbird,Agelaius phoeniceus,4980,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,4970,1973,1980,44.088151,87.961719,,49704980
4,3,120,Red-winged blackbird,Agelaius phoeniceus,4980,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,4970,1977,1988,46.896919,119.272658,,49704980
4,76,123,Red-winged blackbird,Agelaius phoeniceus,4980,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,4970,1961,1963,47.417494,117.573895,,49704980
5,78,58,Tricolored blackbird,Agelaius tricolor,5000,Yellow-headed blackbird,Xanthocephalus xanthocephalus,4970,1960,1965,39.310279,122.488425,,49705000
6,113,64,Seaside Sparrow,Ammodramus maritimus,5500,Saltmarsh Sparrow,Ammodramus caudacutus,5490,1955,1955,39.978124,74.076521,,54905500
6,84,66,Seaside Sparrow,Ammodramus maritimus,5500,Saltmarsh Sparrow,Ammodramus caudacutus,5490,1968,1971,40.62898,73.353679,,54905500
7,53,10,Five-striped Sparrow,Amphispiza quinquestriata,5742,Rufous-crowned Sparrow,Aimophila ruficeps,5800,1974,1978,31.498699,110.832365,,57425800
8,30,53,Woodhouses Scrub-Jay,Aphelocoma woodhouseii,4813,California Scrub-Jay,Aphelocoma californica,4812,2012,2013,39.0557,119.5703,,48124813
8,30,53,Woodhouses Scrub-Jay,Aphelocoma woodhouseii,4813,California Scrub-Jay,Aphelocoma californica,4810,2012,2013,39.0557,119.5703,duplicated because there are two AOU codes for both sp. ,48104813
8,30,53,Woodhouses Scrub-Jay,Aphelocoma woodhouseii,4810,California Scrub-Jay,Aphelocoma californica,4812,2012,2013,39.0557,119.5703,duplicated because there are two AOU codes for both sp. ,48104812
9,14,20,Black-crested Titmouse,Baeolophus atricristatus,7320,Tufted Titmouse,Baeolophus bicolor,7310,2011,2013,33.24221111,97.76791389,,73107320
9,14,30,Black-crested Titmouse,Baeolophus atricristatus,7320,Tufted Titmouse,Baeolophus bicolor,7310,2011,2013,34.73903611,99.27907778,,73107320
10,15,42,Oak Titmouse,Baeolophus inornatus,7330,Chestnut-backed Chickadee,Poecile rufescens,7410,1951,1952,37.87277778,122.2433333,,73307410
10,15,42,Oak Titmouse,Baeolophus inornatus,7330,Chestnut-backed Chickadee,Poecile rufescens,7332,1951,1952,37.87277778,122.2433333,duplicated because there are two AOU codes for sp. 1,73307332
11,31,16,Bridled Titmouse,Baeolophus wollweberi,7340,Bushtit,Psaltriparus minimus,7430,1984,1986,31.881122,109.231879,,73407430
12,31,16,Bridled Titmouse,Baeolophus wollweberi,7340,Black-throated Gray Warbler,Setophaga nigrescens,6650,1984,1986,31.881122,109.231879,,66507340
14,110,77,Marsh wren,Cistothorus palustris,7250,Swamp sparrow,Melospiza georgiana,5840,1965,1965,42.361917,71.371051,,58407250
15,47,13,Greater Pewee,Contopus pertinax,4600,Western Wood-Pewee,Contopus sordidulus,4620,1951,1953,31.751142,109.429716,,46004620
16,48,88,Bobolink,Dolichonyx oryzivorus,4940,Red-winged Blackbird,Agelaius phoeniceus,4980,1967,1967,43.225551,89.802181,,49404980
17,108,85,Bobolink,Dolichonyx oryzivorus,4940,Savannah Sparrow,Passerculus Sandwichensis,5420,1964,1966,42.969282,89.379869,,49405420
17,48,88,Bobolink,Dolichonyx oryzivorus,4940,Savannah Sparrow,Passerculus Sandwichensis,5420,1967,1967,43.225551,89.802181,,49405420
18,95,68,Pacific-slope flycatcher,Empidonax difficilis,4641,Hammonds Flycatcher,Empidonax hammondii,4680,1984,1988,40.915688,123.56175,,46414680
18,36,83,Pacific-slope flycatcher,Empidonax difficilis,4641,Hammonds Flycatcher,Empidonax hammondii,4680,1964,1970,42.726769,122.325951,,46414680
19,27,136,Least flycatcher,Empidonax minimus,4670,Yellow Warbler,Setophaga petechia,6520,1974,1985,50.188981,98.444848,,46706520
19,9,143,Least flycatcher,Empidonax minimus,4670,Yellow Warbler,Setophaga petechia,6520,1995,1997,51.861311,112.617009,,46706520
20,98,98,Least flycatcher,Empidonax minimus,4670,American redstart,Setophaga ruticilla,6870,1974,1974,43.94161,71.709522,,46706870
21,88,55,Dusky Flycatcher,Empidonax oberholseri,4690,Western Wood-Pewee,Contopus sordidulus,4620,2003,2006,39.126674,119.903348,,46204690
21,88,55,Dusky Flycatcher,Empidonax oberholseri,4689,Western Wood-Pewee,Contopus sordidulus,4620,2003,2006,39.126674,119.903348,duplicated because there are two AOU codes for sp. 1,46204689
22,36,107,Dusky Flycatcher,Empidonax oberholseri,4690,Cordilleran Flycatcher,Empidonax occidentalis,4640,1965,1965,44.351144,103.924171,,46404690
22,36,107,Dusky Flycatcher,Empidonax oberholseri,4689,Cordilleran Flycatcher,Empidonax occidentalis,4640,1965,1965,44.351144,103.924171,duplicated because there are two AOU codes for sp. 1,46404689
23,35,60,Dusky Flycatcher,Empidonax oberholseri,4690,Gray Flycatcher,Empidonax wrightii,4691,1960,1960,39.400696,120.154004,,46904691
23,35,60,Dusky Flycatcher,Empidonax oberholseri,4689,Gray Flycatcher,Empidonax wrightii,4691,1960,1960,39.400696,120.154004,duplicated because there are two AOU codes for sp. 1,46894691
23,35,62,Dusky Flycatcher,Empidonax oberholseri,4690,Gray Flycatcher,Empidonax wrightii,4691,1960,1960,39.564747,120.053458,,46904691
23,35,62,Dusky Flycatcher,Empidonax oberholseri,4689,Gray Flycatcher,Empidonax wrightii,4691,1960,1960,39.564747,120.053458,duplicated because there are two AOU codes for sp. 1,46894691
24,28,72,Willow Flycatcher,Empidonax traillii,4660,Alder Flycatcher,Empidonax alnorum,4661,1966,1968,41.714689,73.222272,,46604661
24,85,91,Willow Flycatcher,Empidonax traillii,4660,Alder Flycatcher,Empidonax alnorum,4661,1985,1985,43.53333333,80.21666667,,46604661
24,32,139,Willow Flycatcher,Empidonax traillii,4660,Alder Flycatcher,Empidonax alnorum,4661,2004,2005,51.03333333,114.9,,46604661
24,32,140,Willow Flycatcher,Empidonax traillii,4660,Alder Flycatcher,Empidonax alnorum,4661,2004,2005,51.03333333,114.7833333,,46604661
24,32,141,Willow Flycatcher,Empidonax traillii,4660,Alder Flycatcher,Empidonax alnorum,4661,2004,2005,51.31666667,114.95,,46604661
24,32,142,Willow Flycatcher,Empidonax traillii,4660,Alder Flycatcher,Empidonax alnorum,4661,2004,2005,51.46666667,114.85,,46604661
25,70,82,Acadian Flycatcher,Empidonax virescens,4650,Eastern wood pewee,Contopus virens,4610,1955,1958,42.458087,84.011693,,46104650
26,51,49,Kentucky warbler,Geothlypis formosa,6770,Hooded warbler,Setophaga citrina,6840,2000,2009,38.915,78.184,,67706840
27,34,76,Wood Thrush,Hylocichla mustelina,7550,Veery,Catharus fuscescens,7560,1979,1982,42.24929722,87.93222222,,75507560
27,65,101,Wood Thrush,Hylocichla mustelina,7550,Veery,Catharus fuscescens,7560,1965,1969,43.97619444,69.44166667,,75507560
28,19,67,Bullocks Oriole,Icterus bullockii,5080,Baltimore Oriole,Icterus galbula,5070,1979,1981,40.84063611,102.8083806,,50705080
29,38,133,Song Sparrow,Melospiza melodia,5810,White-throated Sparrow,Zonotrichia albicollis,5580,1945,1945,49.179864,88.79443,,55805810
30,6,25,Brown-crested Flycatcher,Myiarchus tyrannulus,4530,Ash-throated Flycatcher,Myiarchus cinerascens,4540,1978,1980,34.298227,114.095225,,45304540
31,49,27,Orange-crowned warbler,Oreothlypis celata,6460,Virginias warbler,Oreothlypis virginiae,6440,1986,1998,34.416667,111.166667,,64406460
32,21,84,Indigo Bunting,Passerina cyanea,5980,Lazuli Bunting,Passerina amoena,5990,1969,1969,42.744396,103.002308,,59805990
32,2,108,Indigo Bunting,Passerina cyanea,5980,Lazuli Bunting,Passerina amoena,5990,1990,1990,44.483188,103.86532,,59805990
32,2,110,Indigo Bunting,Passerina cyanea,5980,Lazuli Bunting,Passerina amoena,5990,1989,1989,44.545324,104.090362,,59805990
33,112,7,Indigo Bunting,Passerina cyanea,5980,Painted Bunting,Passerina ciris,6010,1985,1986,31.430442,94.681872,,59806010
33,112,8,Indigo Bunting,Passerina cyanea,5980,Painted Bunting,Passerina ciris,6010,1985,1986,31.438347,94.930888,,59806010
33,112,9,Indigo Bunting,Passerina cyanea,5980,Painted Bunting,Passerina ciris,6010,1985,1986,31.488415,94.562645,,59806010
33,112,11,Indigo Bunting,Passerina cyanea,5980,Painted Bunting,Passerina ciris,6010,1985,1986,31.517098,94.762767,,59806010
33,112,14,Indigo Bunting,Passerina cyanea,5980,Painted Bunting,Passerina ciris,6010,1985,1986,31.76001,94.805938,,59806010
33,112,15,Indigo Bunting,Passerina cyanea,5980,Painted Bunting,Passerina ciris,6010,1985,1986,31.835679,94.612525,,59806010
34,104,12,Cassins Sparrow,Peucaea cassinii,5780,Botteris Sparrow,Peucaea botterii,5760,1969,1969,31.735589,110.675869,,57605780
35,40,129,Black-headed Grosbeak,Pheucticus melanocephalus,5960,Rose-breasted Grosbeak,Pheucticus ludovicianus,5950,1969,1971,48.093414,101.040756,,59505960
36,100,24,Summer Tanager,Piranga rubra,6100,Scarlet Tanager,Piranga olivacea,6080,1978,1982,34.227746,87.353515,,60806100
36,100,40,Summer Tanager,Piranga rubra,6100,Scarlet Tanager,Piranga olivacea,6080,1978,1982,37.533926,88.981867,,60806100
